"miR_name","Other_B_Myoblast_Healthy_M180","Other_B_Myoblast_Healthy_M194","Other_B_Myoblast_Healthy_V1024","Other_B_Myoblast_DMD_M197","Other_B_Myoblast_DMD_M202","Other_B_Myoblast_DMD_M418","Other_B_Myotube_Healthy_M180","Other_B_Myotube_Healthy_M194","Other_B_Myotube_Healthy_V1024","Other_B_Myotube_DMD_M197","Other_B_Myotube_DMD_M202","Other_B_Myotube_DMD_M418","G1B_D0_Healthy_M180","G1B_D0_Healthy_M194","G1B_D0_Healthy_M398","G1B_D0_DMD_M197","G1B_D0_DMD_M202","G1B_D0_DMD_M418","G1B_D03_Healthy_M180","G1B_D03_Healthy_M194","G1B_D03_Healthy_M398","G1B_D03_DMD_M197","G1B_D03_DMD_M202","G1B_D03_DMD_M418","G1B_D10_Healthy_M180","G1B_D10_Healthy_M194","G1B_D10_Healthy_M398","G1B_D10_DMD_M197","G1B_D10_DMD_M202","G1B_D10_DMD_M418","G1B_D17_Healthy_M180","G1B_D17_Healthy_M194","G1B_D17_Healthy_M398","G1B_D17_DMD_M197","G1B_D17_DMD_M202","G1B_D17_DMD_M418","G1B_D25_Healthy_M180","G1B_D25_Healthy_M194","G1B_D25_Healthy_M398","G1B_D25_DMD_M197","G1B_D25_DMD_M202","G1B_D25_DMD_M418"
"23","AC004824.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","MIR4695",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,2.17,0,0.66,0,0.59,0,0,0,0.91,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0
"25","MIR1290",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0
"26","AL137127.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","MIR1256",0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0,0.95,0,0,0,0,0,0,1.18,0,0.41,0,0,0,0,0,0,0,0,0.44,0,0,0,0,0,0,0,0
"28","AL031005.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","AL359815.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","MIR4418",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","MIR4684",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","AL611946.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","MIR4253",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","MIR3115",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.59,0,0,0,0,1.36,0,1.32,0,0.54,0.39,0.44,1.13,0.82,1.07,0,0,1.58,1.9,0.3
"35","MIR4419A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","MIR378F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","AL590683.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
