"Accession_ID","Protein_Coverage","Number_of_Unique_Peptides","Number_of_Peptides","M197vsM398","M197vsM180","M197vsM194","M202vsM194","M418vsM194","M202vsM180","M202vsM398","M418vsM180","M418vsM398","Number_of_ratios","Ratio_mean","Ratio_SEM","pvalue","FDR"
"658","P01130",3.02,2,2,0.456,0,0.533,0.419,0,0,0.354,0,0,4,0.44,0.04,0.002,0.023
"659","P02042",12.93,2,2,1.485,1.569,1.146,1.019,1.026,1.26,1.304,1.09,0.989,9,1.21,0.07,0.034,0.125
"660","P02452",31.15,29,30,2.631,4.83,0.947,0.228,2.469,1.051,0.709,10.459,5.512,9,3.2,1.09,0.093,0.231
"661","P02458",16.75,13,16,1.184,1.868,1.796,1.363,1.488,1.683,1.178,1.346,0.923,9,1.43,0.1,0.012,0.065
"662","P02461",44.47,43,45,6.864,5.542,1.894,0.295,3.855,1.096,1.024,12.725,14.386,9,5.3,1.73,0.016,0.08
"663","P02462",4.49,6,6,5.868,6.385,2.087,0.205,2.304,0.759,0.529,9.132,7.456,9,3.86,1.12,0.061,0.18
"664","P02538",29.43,2,18,0.924,1.375,0.857,0.285,0.46,0.452,0.304,0.727,0.49,9,0.65,0.12,0.016,0.079
"665","P02545",62.2,48,50,0.999,1.565,1.349,0.981,0.959,1.144,0.706,1.079,0.686,9,1.05,0.09,0.765,0.865
"666","P02585",43.75,5,6,0.583,0.777,1.491,1.929,1.914,1.151,0.695,1.078,0.758,9,1.15,0.17,0.917,0.955
"667","P02649",29.02,8,8,0.874,1.745,1.108,1.219,0.569,2.423,1.014,0.983,0.398,9,1.15,0.2,0.323,0.504
"668","P02708",1.45,1,1,1.253,1.031,0.99,0.95,0.964,0.979,1.188,0.988,1.204,9,1.06,0.04,0.08,0.213
"669","P02749",1.74,1,1,1.006,1.587,1.704,1.086,1.309,1,0.633,1.198,0.762,9,1.14,0.12,0.565,0.727
"670","P02751",16.97,30,30,0.806,1.396,1.07,0.989,0.812,1.294,0.735,1.06,0.625,9,0.98,0.09,0.173,0.339
"671","P02765",5.45,2,2,1.26,2.093,2.774,3.245,2.054,2.147,1.416,1.391,0.873,9,1.92,0.25,0.014,0.075
"672","P02768",11,8,8,1.077,1.516,2.635,2.948,2.227,1.917,1.244,1.459,0.99,9,1.78,0.23,0.015,0.076
"673","P02771",4.11,3,3,1.385,1.904,2.42,2.446,2.267,1.832,1.336,1.549,1.131,9,1.81,0.16,0.001,0.018
"674","P02774",10.13,4,4,1.154,1.611,1.869,2.02,1.678,1.711,1.232,1.422,1.023,9,1.52,0.11,0.004,0.033
"675","P02786",27.63,19,19,1.116,1.272,1.284,0.912,0.891,0.845,0.766,0.765,0.766,9,0.96,0.07,0.369,0.551
"676","P02787",2.01,1,1,1.013,1.617,3.185,3.119,2.886,1.549,1.031,1.424,0.984,9,1.87,0.31,0.027,0.109
"677","P02788",1.27,1,1,1.08,1.746,2.881,2.747,2.085,1.645,1.017,1.242,0.771,9,1.69,0.25,0.065,0.189
"678","P02792",13.14,3,3,1.62,2.726,2.852,2.076,1.515,1.961,1.221,1.424,0.891,9,1.81,0.22,0.013,0.068
"679","P02794",24.04,4,4,0.887,1.406,1.968,2.171,1.541,1.533,0.966,1.082,0.685,9,1.36,0.17,0.275,0.454
"680","P03928",16.18,1,1,0.794,0.888,0.913,1.159,0.964,1.115,0.995,0.922,0.827,9,0.95,0.04,0.055,0.17
"681","P03952",2.19,1,1,2.712,1.831,1.385,0.683,0.561,1.259,1.343,0.729,0.928,9,1.27,0.23,0.603,0.755
"682","P04003",1.34,1,1,1.411,2.883,1.726,0.85,0.523,1.403,0.686,0.858,0.422,9,1.2,0.26,0.631,0.777
"683","P04004",4.18,2,2,0.812,1.816,1.452,1.552,1.743,1.251,0.47,1.942,0.79,9,1.31,0.17,0.423,0.605
"684","P04035",4.28,3,3,1.368,1.325,0.88,1.303,1.43,1.939,1.999,2.116,2.193,9,1.62,0.15,0.002,0.024
"685","P04040",26.38,14,14,0.684,1.129,1.826,1.488,1.418,0.952,0.649,0.944,0.547,9,1.07,0.14,0.705,0.826
"686","P04049",1.39,1,1,0,0.66,0.697,1.061,1.059,0.993,0,0.986,0,6,0.91,0.07,0.269,0.447
"687","P04062",11.19,6,6,1.08,1.436,1.246,0.921,0.908,1.165,0.878,1.202,0.805,9,1.07,0.07,0.798,0.885
"688","P04066",4.72,2,2,0.852,1.35,0.872,0.787,0.826,1.203,0.759,1.257,0.797,9,0.97,0.08,0.2,0.372
"689","P04075",62.64,20,25,0.848,0.91,1.036,1.202,1.3,1.006,0.979,1.105,1.075,9,1.05,0.05,0.319,0.501
"690","P04080",34.69,5,5,0.877,0.829,1.318,1.588,1.153,0.988,1.01,0.693,0.721,9,1.02,0.1,0.675,0.807
"691","P04083",57.8,18,18,0.911,0.824,0.797,0.706,0.9,0.745,0.831,0.878,1.006,9,0.84,0.03,0.006,0.042
"692","P04114",0.59,2,2,1.249,0.917,0.808,0.727,0.633,0.814,1.109,0.706,0.965,9,0.88,0.07,0.122,0.273
"693","P04150",2.32,2,2,0,0,0,1.102,0.911,1.142,0.846,0.939,0.699,6,0.94,0.07,0.084,0.217
"694","P04179",13.51,3,3,0.91,1.259,1.854,1.498,1.861,1.023,0.724,1.164,0.809,9,1.23,0.14,0.283,0.463
"695","P04181",19.13,8,8,1.157,1.165,1.19,0.986,0.902,1.017,1.02,1.012,0.853,9,1.03,0.04,0.774,0.869
"696","P04264",51.24,25,31,2.682,2.681,3.188,1.581,1.575,1.328,1.204,1.366,1.385,9,1.89,0.25,0.001,0.018
"697","P04406",68.36,21,21,0.942,0.991,0.994,1.016,1.08,1.015,0.98,1.069,1.034,9,1.01,0.01,0.372,0.554
"698","P04424",5.6,3,3,1.079,0.748,0.975,1.072,1.583,0.813,1.171,0.915,1.762,9,1.12,0.11,0.142,0.298
"699","P04632",19.4,5,5,1.411,1.216,0.917,0.68,0.937,1.009,1.104,1.142,1.478,9,1.1,0.08,0.236,0.412
"700","P04792",36.1,7,7,1.106,1.039,2.436,2.968,3.003,1.36,1.348,1.381,1.365,9,1.78,0.26,0.007,0.048
"701","P04818",13.1,3,3,2.408,1.45,0.689,0.405,0.881,0.862,1.43,1.875,3.125,9,1.46,0.29,0.178,0.345
"702","P04843",36.57,21,21,0.957,1.121,0.806,0.762,0.772,1.059,0.873,1.115,0.877,9,0.93,0.05,0.063,0.184
"703","P04844",13.95,7,7,1.011,1.398,0.699,0.595,0.573,1.177,0.774,1.083,0.751,9,0.9,0.09,0.075,0.206
"704","P04899",16.06,3,5,1.004,0.834,0.859,1.128,1.003,1.051,1.227,0.958,1.102,9,1.02,0.04,0.725,0.838
"705","P04908",35.38,1,6,1.215,1.134,1.958,2.931,1.406,1.17,2.361,0.656,1.33,9,1.57,0.24,0.034,0.126
"706","P05023",25.71,13,23,0.856,0.968,0.909,0.84,0.786,0.806,0.755,0.824,0.771,9,0.84,0.02,0,0.005
"707","P05067",15.71,10,10,1.649,1.984,1.565,1.153,1.04,1.698,1.395,1.386,1.123,9,1.44,0.1,0.003,0.03
"708","P05091",31.53,14,14,0.854,1.275,0.757,0.627,0.841,1.03,0.608,1.376,0.858,9,0.91,0.09,0.163,0.326
"709","P05114",59,8,8,1.819,2.421,1.37,0.949,0.904,1.461,1.036,1.513,1.286,9,1.42,0.16,0.028,0.111
"710","P05141",30.54,2,11,0.672,0.72,0.626,0.692,0.402,0.786,0.733,0.454,0.425,9,0.61,0.05,0,0.005
"711","P05155",4.6,2,2,1.165,1.926,0.98,0.978,1.069,1.899,1.148,2.065,1.254,9,1.39,0.15,0.031,0.12
"712","P05161",13.33,2,2,0.738,0.745,0.837,1.079,1.251,0.949,0.939,1.094,1.088,9,0.97,0.06,0.609,0.76
"713","P05165",10.44,7,7,0.698,1.028,0.727,0.771,0.716,0.914,0.667,1.009,0.708,9,0.8,0.05,0.001,0.018
"714","P05166",19.85,8,8,0.65,0.784,0.767,0.955,1.016,0.965,0.744,1.035,0.832,9,0.86,0.05,0.01,0.059
"715","P05198",27.3,8,8,0.846,0.619,0.75,0.946,0.856,0.81,1.012,0.719,0.928,9,0.83,0.04,0.011,0.063
"716","P05204",61.11,8,8,0.875,0.662,2.281,4.167,2.446,1.348,1.568,0.771,0.889,9,1.67,0.38,0.212,0.386
"717","P05362",12.03,6,6,1.46,2.013,1.887,1.511,1.783,1.638,1.179,1.961,1.422,9,1.65,0.09,0,0.003
"718","P05386",34.21,1,3,1.072,1.007,1.384,1.292,1.313,0.929,0.988,0.94,1.004,9,1.1,0.06,0.083,0.217
"719","P05387",95.65,8,9,1.126,1.228,1.187,1.041,1.003,1.001,0.949,1.011,0.923,9,1.05,0.04,0.273,0.451
"720","P05388",32.49,11,11,1.106,0.77,0.839,0.822,0.989,0.74,1.071,0.859,1.226,9,0.94,0.06,0.655,0.793
"721","P05412",9.06,1,3,0,0,0,1.165,1.046,1.464,1.915,1.308,1.719,6,1.44,0.14,0.014,0.074
"722","P05413",39.1,6,6,0.721,0.801,2.083,3.336,3.812,1.019,0.956,1.143,1.246,9,1.68,0.38,0.111,0.258
"723","P05423",3.77,1,2,1.123,1.134,1.195,1.111,0.994,1.042,1.031,0.927,0.921,9,1.05,0.03,0.291,0.472
"724","P05455",36.76,22,22,0.825,0.925,1.087,1.216,1.258,1.007,0.908,1.044,0.93,9,1.02,0.05,0.899,0.944
"725","P05496",5.15,1,1,0.778,1.036,1.147,1.12,1.125,0.938,0.721,0.977,0.731,9,0.95,0.06,0.238,0.413
"726","P05549",5.26,2,2,0,0,0,1.565,0.733,0,1.257,0,0.589,4,1.04,0.23,0.562,0.724
"727","P05556",22.56,17,17,1.208,2.113,1.051,0.588,0.697,1.23,0.703,1.423,0.833,9,1.09,0.16,0.859,0.924
"728","P05783",46.05,19,22,0.557,1.804,0.912,0.56,0.526,1.023,0.341,0.971,0.311,9,0.78,0.16,0.029,0.115
"729","P05787",61.08,30,38,0.459,1.872,0.82,0.512,0.411,1.103,0.282,0.942,0.236,9,0.74,0.17,0.02,0.089
"730","P05976",61.86,10,14,0.375,0.938,4.59,5.109,6.701,1.072,0.406,1.508,0.61,9,2.37,0.8,0.466,0.646
"731","P05997",12.81,15,16,1.218,1.579,1.577,0.931,1.72,1.464,0.781,1.556,1.247,9,1.34,0.11,0.025,0.105
"732","P06132",16.89,4,4,0.754,0.915,1.256,0.944,1.55,0.729,0.762,1.19,1.166,9,1.03,0.09,0.572,0.733
"733","P06280",2.33,1,1,0,0,0,1.514,0.877,0,0,0,0,2,0,0,0,0
"734","P06396",34.14,21,21,0.661,0.979,1.027,1.212,1.25,1.272,0.813,1.179,0.82,9,1.02,0.07,0.575,0.735
"735","P06400",1.4,1,1,1.089,0.771,0.71,0.866,1.337,0.928,1.31,0.934,1.324,9,1.03,0.08,0.645,0.787
"736","P06493",35.02,8,9,2.018,1.063,0.686,0.564,0.647,0.897,1.782,0.991,2.088,9,1.19,0.2,0.412,0.594
"737","P06576",56.71,23,23,0.905,1.166,1.377,1.095,1.089,0.989,0.778,0.948,0.77,9,1.01,0.06,0.721,0.836
"738","P06703",33.33,4,4,0.415,0.335,0.43,0.585,0.639,0.451,0.6,0.507,0.627,9,0.51,0.04,0,0.003
"739","P06730",23.04,5,5,0.988,0.842,0.917,1.204,0.984,1.012,1.297,0.948,1.152,9,1.04,0.05,0.416,0.598
"740","P06732",34.65,12,13,0.377,0.691,4.231,4.724,4.846,0.942,0.449,1.005,0.544,9,1.98,0.66,0.696,0.819
"741","P06733",68.66,28,30,1.115,0.901,0.866,0.833,0.923,0.88,1.087,0.94,1.191,9,0.97,0.04,0.881,0.936
"742","P06737",23.73,16,20,0.867,0.551,0.774,0.951,0.952,0.666,0.924,0.708,0.953,9,0.82,0.05,0.023,0.1
"743","P06744",36.38,18,19,1.041,0.899,0.964,1.049,0.992,0.965,1.079,0.938,1.046,9,1,0.02,0.824,0.902
"744","P06746",16.42,4,4,1.302,1.477,1.399,1.705,1.826,1.779,1.566,1.895,1.677,9,1.63,0.07,0,0.001
"745","P06748",77.55,18,18,1.001,1.331,1.341,1.072,0.953,1.02,0.801,0.966,0.74,9,1.03,0.07,0.762,0.863
"746","P06753",66.32,9,25,1.057,1.183,0.963,0.887,1.035,1.013,1.035,1.315,1.109,9,1.07,0.04,0.11,0.257
"747","P06756",17.84,17,17,0.813,1.668,0.834,0.584,0.667,1.279,0.582,1.308,0.626,9,0.93,0.13,0.117,0.266
"748","P06865",14.74,7,8,0.881,1.262,0.841,0.827,0.803,1.236,1.032,1.286,0.855,9,1,0.07,0.425,0.608
"749","P06899",63.49,2,10,1.096,1.187,1.469,1.41,1.139,1.192,1.125,0.925,0.884,9,1.16,0.06,0.116,0.265
"750","P07093",10.8,4,4,2.1,3.572,0.758,0.436,0.47,1.796,1.135,2.182,1.347,9,1.53,0.34,0.462,0.641
"751","P07099",5.93,2,2,0.883,1.152,0.752,0.475,0.514,0.719,0.551,0.775,0.596,9,0.71,0.07,0.003,0.03
"752","P07108",62.07,4,4,0.943,0.897,1.245,1.619,1.392,1.131,1.192,0.911,0.931,9,1.14,0.08,0.239,0.414
"753","P07195",46.41,16,18,0.91,0.847,0.944,1.21,1.098,1.072,1.142,1,1.1,9,1.04,0.04,0.446,0.629
"754","P07196",25.05,12,15,0.617,1.429,1.922,2.315,3.033,1.808,0.749,2.337,1.018,9,1.69,0.27,0.105,0.248
"755","P07197",24.56,23,26,0.516,1.715,2.997,3.569,4.227,1.937,0.632,2.499,0.813,9,2.1,0.44,0.154,0.313
"756","P07203",22.66,4,4,0.861,0.681,0.752,0.675,0.754,0.703,0.753,0.808,0.664,9,0.74,0.02,0,0.001
"757","P07237",55.71,34,34,1.047,1.574,1.343,1.019,1.049,1.147,0.764,1.184,0.792,9,1.1,0.08,0.64,0.784
"758","P07305",15.98,3,3,0.885,1.262,1.992,3.389,1.461,2.327,1.388,0.931,0.595,9,1.58,0.29,0.34,0.521
"759","P07339",35.92,12,12,1.015,1.148,1.327,1.364,1.379,1.213,1.008,1.217,1.028,9,1.19,0.05,0.012,0.065
"760","P07355",61.36,25,25,0.79,0.808,0.655,0.622,0.739,0.761,0.746,0.886,0.876,9,0.76,0.03,0,0.01
"761","P07384",10.64,8,8,0.93,0.972,0.814,0.944,0.772,1.058,1.122,0.942,0.918,9,0.94,0.04,0.06,0.179
"762","P07437",58.11,3,21,1.389,0.844,0.688,0.669,0.816,0.855,1.361,1.029,1.504,9,1.02,0.11,0.766,0.865
"763","P07477",4.05,1,1,0.929,1.029,1.249,1.142,1.205,0.93,0.838,0.977,0.884,9,1.02,0.05,0.837,0.91
"764","P07602",14.5,8,8,1.232,2.691,1.502,1.04,0.953,1.7,0.786,1.398,0.671,9,1.33,0.2,0.484,0.661
"765","P07686",20.68,10,11,1.176,1.413,1.007,0.857,0.896,1.142,0.898,1.203,0.966,9,1.06,0.06,0.603,0.755
"766","P07711",10.51,3,3,0.764,1.248,0.829,0.757,0.823,1.126,0.689,1.217,0.748,9,0.91,0.07,0.061,0.18
"767","P07737",75,12,12,1.209,1.111,1.078,0.883,1.005,0.897,0.954,0.993,1.081,9,1.02,0.04,0.26,0.437
"768","P07741",25.56,4,4,0.838,0.553,0.632,0.753,0.829,0.653,0.96,0.686,1.09,9,0.78,0.06,0.023,0.099
"769","P07814",26.32,33,34,0.839,0.671,0.678,0.886,0.855,0.874,1.091,0.816,1.049,9,0.86,0.05,0.047,0.154
"770","P07858",15.93,5,5,0.815,1.754,0.792,0.547,0.494,1.184,0.56,1.197,0.517,9,0.87,0.14,0.063,0.185
"771","P07900",46.04,17,38,1.196,0.734,0.75,0.877,0.856,0.792,1.307,0.844,1.236,9,0.95,0.08,0.781,0.874
"772","P07910",41.83,12,20,0.919,1.371,1.34,1.328,1.097,1.257,0.894,1.077,0.781,9,1.12,0.07,0.528,0.697
"773","P07919",16.48,2,2,1.029,1.408,1.712,1.191,1.168,0.967,0.707,0.944,0.693,9,1.09,0.11,0.86,0.924
"774","P07942",16.29,30,30,1.43,2.218,1.053,0.674,0.781,1.387,0.905,1.556,1.057,9,1.23,0.16,0.386,0.567
"775","P07947",18.23,6,8,0.874,1.074,0.994,0.962,0.973,1.023,1.088,1.144,1.061,9,1.02,0.03,0.472,0.65
"776","P07948",5.47,2,3,0.864,1.099,0.9,1.129,1.029,1.362,1.07,1.235,0.975,9,1.07,0.05,0.513,0.685
"777","P07951",65.49,13,32,0.389,0.937,2.716,2.744,4.597,0.868,0.4,1.444,0.634,9,1.64,0.48,0.686,0.814
"778","P07954",27.45,13,14,0.954,1.143,1.321,1.216,1.219,0.955,0.778,0.999,0.752,9,1.04,0.07,1,1
"779","P07996",5.21,5,5,1.204,1.279,1.858,1.362,1.273,0.837,0.925,1.111,0.993,9,1.2,0.1,0.033,0.123
"780","P08048",1,1,1,0,0,0,0.682,0.724,0,0,0,0,2,0,0,0,0
"781","P08107",32.76,8,23,1.183,1.145,1.101,1.268,1.161,1.251,1.353,1.201,1.267,9,1.21,0.03,0,0.002
"782","P08123",36.75,36,36,2.639,3.384,1.868,0.711,2.514,1.132,0.8,3.863,3.029,9,2.22,0.38,0.007,0.046
"783","P08133",59.88,40,41,0.957,0.769,1.089,1.402,1.597,0.959,1.212,1.085,1.286,9,1.15,0.08,0.072,0.2
"784","P08138",12.65,4,4,1.995,1.857,2.692,1.418,2.131,0.954,1.038,1.445,1.559,9,1.68,0.18,0.001,0.011
"785","P08195",29.84,17,18,0.547,0.747,1.047,1.21,0.991,0.633,0.549,0.608,0.484,9,0.76,0.09,0.016,0.08
"786","P08237",8.85,6,7,1.051,1.018,0.868,1.108,1.125,1.213,1.267,1.306,1.275,9,1.14,0.05,0.023,0.1
"787","P08238",47.93,10,41,1.12,0.804,0.766,0.869,0.99,0.815,1.151,0.829,1.324,9,0.96,0.06,0.957,0.977
"788","P08240",14.26,9,9,1.134,0.783,0.577,0.49,0.48,0.837,0.903,0.741,0.831,9,0.75,0.07,0.012,0.065
"789","P08243",25.67,12,12,0.559,0.428,0.859,1.093,1.32,0.589,0.721,0.619,0.818,9,0.78,0.09,0.05,0.161
"790","P08397",17.17,5,5,1.018,0.742,0.874,0.892,0.739,0.748,1.025,0.617,0.849,9,0.83,0.05,0.013,0.069
"791","P08473",29.6,21,21,1.764,2.334,1.38,0.919,0.628,1.542,1.225,1.066,0.844,9,1.3,0.18,0.367,0.549
"792","P08559",30,13,13,0.633,0.734,0.78,1.009,1.069,0.852,0.704,0.911,0.751,9,0.83,0.05,0.006,0.045
"793","P08572",9.35,11,11,2.759,2.569,1.952,0.605,2.365,1.139,0.839,2.548,2.406,9,1.91,0.28,0.011,0.061
"794","P08574",13.54,3,3,1.088,1.277,1.122,0.758,0.831,0.839,0.807,0.754,0.749,9,0.91,0.07,0.13,0.283
"795","P08579",27.56,4,6,1.124,1.734,1.262,1.029,0.758,1.285,0.934,1.033,0.726,9,1.1,0.1,0.955,0.976
"796","P08590",28.21,3,6,0,0,0,0,2.844,0,0.26,0.799,0.504,4,1.1,0.59,0.417,0.598
"797","P08621",21.97,11,11,0.619,0.792,0.956,1.426,1.051,1.192,0.929,0.855,0.657,9,0.94,0.09,0.116,0.266
"798","P08648",13.16,11,11,1.258,2.03,0.951,0.697,0.707,1.388,0.861,1.522,0.979,9,1.15,0.15,0.704,0.825
"799","P08670",68.88,34,42,1.165,1.218,0.906,0.731,0.694,0.955,0.924,0.913,0.885,9,0.93,0.06,0.181,0.348
"800","P08727",61.75,16,26,0.157,1.677,0.308,0.288,0.188,1.22,0.125,1.02,0.1,9,0.56,0.19,0.005,0.038
"801","P08729",39.66,16,22,0.121,1.551,0.303,0.18,0.219,0.875,0.072,1.104,0.087,9,0.5,0.18,0.005,0.038
"802","P08754",14.12,3,5,0.843,0.956,0.644,0.73,0.649,1.123,1.036,0.95,0.813,9,0.86,0.06,0.008,0.051
"803","P08758",60.62,19,21,1.24,1.059,1.123,0.978,1.406,0.888,1.018,1.265,1.46,9,1.16,0.07,0.006,0.042
"804","P08779",38.9,8,17,2.953,2.153,2.152,0.716,0.493,1.028,1.026,0.704,0.69,9,1.32,0.29,0.767,0.865
"805","P08842",1.72,1,1,0.514,0.598,0.652,0.658,0.572,0.597,0.512,0.515,0.444,9,0.56,0.02,0,0
"806","P08865",44.75,11,12,0.863,0.75,0.976,1.4,1.345,1.061,1.231,0.966,1.115,9,1.08,0.07,0.388,0.568
"807","P08962",7.56,2,2,1.298,1.201,1.494,1.172,0.543,0.971,1.005,0.531,0.454,9,0.96,0.12,0.27,0.448
"808","P08F94",0.2,1,1,0.766,0.875,1.424,1.528,1.934,0.927,0.811,1.168,1.026,9,1.16,0.13,0.305,0.486
"809","P09001",2.59,1,1,0.844,0.912,0.672,0.905,0.858,1.214,1.122,1.145,1.063,9,0.97,0.06,0.323,0.504
"810","P09012",29.79,5,7,0.986,1.279,1.21,0.973,0.928,1.153,0.845,0.965,0.731,9,1.01,0.06,0.454,0.635
"811","P09110",24.29,6,6,0.637,0.876,0.857,0.88,0.777,0.9,0.674,0.794,0.582,9,0.78,0.04,0,0.01
"812","P09132",10.42,1,1,0.964,0,0,0,0,0,0,0,0,1,0,0,0,0
"813","P09211",53.81,8,8,0.81,0.693,0.648,0.863,0.723,0.874,1.06,0.92,1.057,9,0.85,0.05,0.04,0.139
"814","P09234",13.21,2,2,1.21,1.699,1.505,1.086,0.891,1.144,0.802,0.772,0.7,9,1.09,0.11,0.983,0.992
"815","P09382",61.48,9,9,1.002,0.796,0.955,1.162,1.12,0.922,1.27,0.904,1.211,9,1.04,0.05,0.339,0.52
"816","P09417",27.05,5,5,0.823,1.205,1.069,0.881,1.059,0.956,1.019,0.923,0.874,9,0.98,0.04,0.45,0.632
"817","P09429",42.33,9,12,1.17,0.998,1.068,1.032,1.064,1.023,1.252,1.017,1.226,9,1.09,0.03,0.006,0.044
"818","P09455",42.22,5,5,1.706,1.75,1.541,1.941,1.65,2.596,2.736,1.952,1.91,9,1.98,0.14,0,0.001
"819","P09486",17.16,6,6,2.043,3.756,1.407,0.897,0.914,1.907,1.091,2.35,1.283,9,1.74,0.3,0.036,0.131
"820","P09493",67.25,10,28,0.479,0.877,2.332,2.111,3.727,0.805,0.44,1.35,0.784,9,1.43,0.36,0.632,0.778
"821","P09496",21.77,6,7,1.174,1.339,1.155,0.949,0.937,1.105,0.981,1.046,0.943,9,1.07,0.05,0.309,0.491
"822","P09497",20.09,6,6,0.743,1.117,1.188,1.034,1.046,0.934,0.692,0.927,0.648,9,0.93,0.06,0.135,0.29
"823","P09525",39.5,11,13,0.866,0.913,0.807,0.64,0.842,0.71,0.621,0.819,0.733,9,0.77,0.03,0,0.009
"824","P09543",27.55,10,11,1.098,1.136,0.947,1.153,0.975,1.197,1.181,1.17,1.109,9,1.11,0.03,0.01,0.059
"825","P09601",12.5,3,3,1.082,0.79,0.913,0.714,0.687,0.672,0.919,0.644,0.804,9,0.8,0.05,0.005,0.039
"826","P09619",6.06,5,6,0.829,0.765,1.115,1.214,1.181,0.951,1.002,0.926,0.917,9,0.99,0.05,0.681,0.81
"827","P09622",29.08,15,15,1.231,1.515,1.129,0.797,0.939,0.967,0.789,1.094,0.945,9,1.05,0.08,0.741,0.847
"828","P09651",41.94,5,14,0.947,1.217,1.306,1.33,1.169,1.287,0.988,1.115,0.825,9,1.13,0.06,0.276,0.454
"829","P09661",32.16,8,8,0.891,1.168,0.927,1.111,0.966,1.171,0.952,0.909,0.725,9,0.98,0.05,0.164,0.327
"830","P09669",21.33,3,3,0.893,1.073,1.144,1.041,1.101,0.974,0.831,0.956,0.803,9,0.98,0.04,0.358,0.542
"831","P09874",35.8,34,35,1.025,0.893,0.893,1.044,0.925,1.054,1.197,0.941,1.095,9,1.01,0.03,0.877,0.934
"832","P09884",3.21,5,5,0.844,0.505,0.613,0.54,0.793,0.439,0.769,0.642,1.015,9,0.68,0.06,0.006,0.041
"833","P09936",28.7,6,7,0.755,1.022,0.81,0.74,0.702,0.927,0.714,0.891,0.658,9,0.8,0.04,0,0.01
"834","P09958",7.3,4,4,0,1.045,0.95,0.617,0.605,0.671,0,0.655,0,6,0.76,0.08,0.071,0.198
"835","P09960",24.88,13,13,0.882,0.671,0.829,0.995,1.011,0.845,1.108,0.824,1.023,9,0.91,0.04,0.148,0.306
"836","P09972",45.88,9,15,0.901,0.885,0.922,1.161,1.193,1.11,1.003,1.169,1.098,9,1.05,0.04,0.369,0.552
"837","P0C0S5",31.25,2,4,1.436,1.463,1.457,1.19,1.073,1.073,1.062,1.06,1.024,9,1.2,0.06,0.013,0.069
"838","P0C7T5",1.89,1,1,2.421,0,1.805,1.473,0,0,1.95,0,0,4,1.91,0.2,0.009,0.054
"839","P0C869",0.9,1,1,0.806,0.902,0.799,0.7,0.749,0.782,0.698,0.833,0.746,9,0.78,0.02,0,0.002
"840","P0CG12",4.96,2,2,0.928,0.976,0.966,1.068,0.928,0.984,1.053,0.842,1.156,9,0.99,0.03,0.965,0.982
"841","P0CG34",28.89,2,2,1.788,1.635,1.066,1.012,0.883,1.573,1.719,1.341,1.934,9,1.44,0.13,0.008,0.05
"842","P0CW22",39.26,4,4,1.193,0.929,0.899,1.062,0.961,0.967,1.165,0.868,1.089,9,1.01,0.04,0.611,0.761
"843","P0DJ07",23.29,3,3,1.062,1.117,2.669,4.516,2.907,1.868,1.774,1.196,1.141,9,2.03,0.39,0.019,0.087
"844","P10109",9.24,2,2,1.132,1.52,1.128,0.881,0.94,1.173,0.872,1.246,0.931,9,1.09,0.07,0.456,0.635
"845","P10155",19.33,10,10,0.732,0.8,0.666,0.815,0.779,0.926,0.913,0.937,0.985,9,0.84,0.04,0.006,0.041
"846","P10253",14.81,10,10,0.757,0.598,0.658,0.662,0.874,0.6,0.837,0.747,1.038,9,0.75,0.05,0.006,0.044
"847","P10321",16.94,1,4,0.442,1.374,0.336,0.272,0.404,1.099,0.353,1.625,0.524,9,0.71,0.17,0.018,0.084
"848","P10515",20.4,11,11,0.806,0.81,0.976,0.941,0.961,0.855,0.799,0.825,0.79,9,0.86,0.03,0.001,0.011
"849","P10588",1.98,1,1,1.56,1.193,1.02,1.139,1.141,1.317,1.721,1.312,1.722,9,1.35,0.09,0.002,0.022
"850","P10599",51.43,6,6,1.192,0.919,1.04,0.965,0.846,0.865,1.13,0.735,1.013,9,0.97,0.05,0.627,0.773
"851","P10606",51.16,8,8,1.008,1.38,1.549,1.178,1.185,0.957,0.773,0.993,0.753,9,1.09,0.09,0.672,0.805
"852","P10619",8.33,4,4,0.765,0.944,0.836,1.185,1.171,1.323,1.07,1.3,1.057,9,1.07,0.06,0.623,0.771
"853","P10644",27.03,8,10,1.015,0.956,1.163,1.077,1.135,1.025,1.046,0.946,1.018,9,1.04,0.02,0.135,0.29
"854","P10746",20.38,4,4,0.745,0.791,0.574,0.851,0.804,1.158,1.09,1.089,1.03,9,0.9,0.07,0.091,0.227
"855","P10768",18.79,6,6,0.797,0.593,0.767,0.975,1.144,0.915,1.343,1.027,1.371,9,0.99,0.09,0.97,0.985
"856","P10809",63.87,38,38,1.129,1.133,1.169,0.793,0.783,0.769,0.773,0.75,0.765,9,0.9,0.06,0.093,0.231
"857","P10909",9.8,3,3,0,0,1.168,0,0,0,0,0,0,1,0,0,0,0
"858","P11021",58.41,47,50,0.886,0.999,1.227,0.957,1.049,0.781,0.666,0.863,0.74,9,0.91,0.06,0.118,0.267
"859","P11047",20.76,33,33,1.643,2.226,1.106,0.67,0.801,1.2,0.897,1.447,1.18,9,1.24,0.16,0.264,0.441
"860","P11055",55.1,76,133,0.307,0.668,3.277,3.949,5.213,0.831,0.39,1.091,0.518,9,1.8,0.61,0.869,0.929
