"Days"	"Mean"	"SEM"	"pvalue"	"Adjusted.pvalue"	"Significant"
"1"	"D0"	0	0	0	0	0
"2"	"D03"	0	0	0	0	0
"3"	"D10"	0	0	0	0	0
"4"	"D17"	0	0	0	0	0
"5"	"D25"	0	0	0	0	0
"6"	"MyoB"	0	0	0	0	0
"7"	"MyoT"	0	0	0	0	0
