"Cell_stage"	"Phenotype"	"Cell_line"	"Differentiation"	"Sample_Name"	"Expression"	"Stage.Phenotype.Cell.line"	"Phenotype.Stage"
"50"	"D10"	"Healthy"	"M180"	"G2"	"D10_Healthy_M180"	NA	"D10 Healthy M180"	"Healthy D10"
"51"	"D10"	"Healthy"	"M180"	"G3"	"D10_Healthy_M180"	NA	"D10 Healthy M180"	"Healthy D10"
"52"	"D10"	"Healthy"	"M194"	"G1"	"D10_Healthy_M194"	NA	"D10 Healthy M194"	"Healthy D10"
"53"	"D10"	"Healthy"	"M194"	"G2"	"D10_Healthy_M194"	NA	"D10 Healthy M194"	"Healthy D10"
"54"	"D10"	"Healthy"	"M194"	"G3"	"D10_Healthy_M194"	NA	"D10 Healthy M194"	"Healthy D10"
"55"	"D10"	"Healthy"	"M398"	"G1"	"D10_Healthy_M398"	NA	"D10 Healthy M398"	"Healthy D10"
"56"	"D10"	"Healthy"	"M398"	"G2"	"D10_Healthy_M398"	NA	"D10 Healthy M398"	"Healthy D10"
"57"	"D10"	"Healthy"	"M398"	"G3"	"D10_Healthy_M398"	NA	"D10 Healthy M398"	"Healthy D10"
"58"	"D10"	"DMD"	"M197"	"G1"	"D10_DMD_M197"	NA	"D10 DMD M197"	"DMD D10"
"59"	"D10"	"DMD"	"M197"	"G2"	"D10_DMD_M197"	NA	"D10 DMD M197"	"DMD D10"
"60"	"D10"	"DMD"	"M197"	"G3"	"D10_DMD_M197"	NA	"D10 DMD M197"	"DMD D10"
"61"	"D10"	"DMD"	"M202"	"G1"	"D10_DMD_M202"	NA	"D10 DMD M202"	"DMD D10"
"62"	"D10"	"DMD"	"M202"	"G2"	"D10_DMD_M202"	NA	"D10 DMD M202"	"DMD D10"
"63"	"D10"	"DMD"	"M202"	"G3"	"D10_DMD_M202"	NA	"D10 DMD M202"	"DMD D10"
"64"	"D10"	"DMD"	"M418"	"G1"	"D10_DMD_M418"	NA	"D10 DMD M418"	"DMD D10"
"65"	"D10"	"DMD"	"M418"	"G2"	"D10_DMD_M418"	NA	"D10 DMD M418"	"DMD D10"
"66"	"D10"	"DMD"	"M418"	"G3"	"D10_DMD_M418"	NA	"D10 DMD M418"	"DMD D10"
"67"	"D17"	"Healthy"	"M180"	"G1"	"D17_Healthy_M180"	NA	"D17 Healthy M180"	"Healthy D17"
"68"	"D17"	"Healthy"	"M180"	"G2"	"D17_Healthy_M180"	NA	"D17 Healthy M180"	"Healthy D17"
"69"	"D17"	"Healthy"	"M180"	"G3"	"D17_Healthy_M180"	NA	"D17 Healthy M180"	"Healthy D17"
"70"	"D17"	"Healthy"	"M194"	"G1"	"D17_Healthy_M194"	NA	"D17 Healthy M194"	"Healthy D17"
"71"	"D17"	"Healthy"	"M194"	"G2"	"D17_Healthy_M194"	NA	"D17 Healthy M194"	"Healthy D17"
"72"	"D17"	"Healthy"	"M194"	"G3"	"D17_Healthy_M194"	NA	"D17 Healthy M194"	"Healthy D17"
"73"	"D17"	"Healthy"	"M398"	"G1"	"D17_Healthy_M398"	NA	"D17 Healthy M398"	"Healthy D17"
"74"	"D17"	"Healthy"	"M398"	"G2"	"D17_Healthy_M398"	NA	"D17 Healthy M398"	"Healthy D17"
"75"	"D17"	"Healthy"	"M398"	"G3"	"D17_Healthy_M398"	NA	"D17 Healthy M398"	"Healthy D17"
"76"	"D17"	"DMD"	"M197"	"G1"	"D17_DMD_M197"	NA	"D17 DMD M197"	"DMD D17"
"77"	"D17"	"DMD"	"M197"	"G2"	"D17_DMD_M197"	NA	"D17 DMD M197"	"DMD D17"
"78"	"D17"	"DMD"	"M197"	"G3"	"D17_DMD_M197"	NA	"D17 DMD M197"	"DMD D17"
"79"	"D17"	"DMD"	"M202"	"G1"	"D17_DMD_M202"	NA	"D17 DMD M202"	"DMD D17"
"80"	"D17"	"DMD"	"M202"	"G2"	"D17_DMD_M202"	NA	"D17 DMD M202"	"DMD D17"
"81"	"D17"	"DMD"	"M202"	"G3"	"D17_DMD_M202"	NA	"D17 DMD M202"	"DMD D17"
"82"	"D17"	"DMD"	"M418"	"G1"	"D17_DMD_M418"	NA	"D17 DMD M418"	"DMD D17"
"83"	"D17"	"DMD"	"M418"	"G2"	"D17_DMD_M418"	NA	"D17 DMD M418"	"DMD D17"
"84"	"D17"	"DMD"	"M418"	"G3"	"D17_DMD_M418"	NA	"D17 DMD M418"	"DMD D17"
"85"	"D25"	"Healthy"	"M180"	"G1"	"D25_Healthy_M180"	NA	"D25 Healthy M180"	"Healthy D25"
"86"	"D25"	"Healthy"	"M180"	"G2"	"D25_Healthy_M180"	NA	"D25 Healthy M180"	"Healthy D25"
"87"	"D25"	"Healthy"	"M180"	"G3"	"D25_Healthy_M180"	NA	"D25 Healthy M180"	"Healthy D25"
"88"	"D25"	"Healthy"	"M194"	"G1"	"D25_Healthy_M194"	NA	"D25 Healthy M194"	"Healthy D25"
"89"	"D25"	"Healthy"	"M194"	"G2"	"D25_Healthy_M194"	NA	"D25 Healthy M194"	"Healthy D25"
"90"	"D25"	"Healthy"	"M194"	"G3"	"D25_Healthy_M194"	NA	"D25 Healthy M194"	"Healthy D25"
"91"	"D25"	"Healthy"	"M398"	"G1"	"D25_Healthy_M398"	NA	"D25 Healthy M398"	"Healthy D25"
"92"	"D25"	"Healthy"	"M398"	"G2"	"D25_Healthy_M398"	NA	"D25 Healthy M398"	"Healthy D25"
"93"	"D25"	"Healthy"	"M398"	"G3"	"D25_Healthy_M398"	NA	"D25 Healthy M398"	"Healthy D25"
"94"	"D25"	"DMD"	"M197"	"G1"	"D25_DMD_M197"	NA	"D25 DMD M197"	"DMD D25"
"95"	"D25"	"DMD"	"M197"	"G2"	"D25_DMD_M197"	NA	"D25 DMD M197"	"DMD D25"
"96"	"D25"	"DMD"	"M197"	"G3"	"D25_DMD_M197"	NA	"D25 DMD M197"	"DMD D25"
"97"	"D25"	"DMD"	"M202"	"G1"	"D25_DMD_M202"	NA	"D25 DMD M202"	"DMD D25"
"98"	"D25"	"DMD"	"M202"	"G2"	"D25_DMD_M202"	NA	"D25 DMD M202"	"DMD D25"
"99"	"D25"	"DMD"	"M202"	"G3"	"D25_DMD_M202"	NA	"D25 DMD M202"	"DMD D25"
"100"	"D25"	"DMD"	"M418"	"G1"	"D25_DMD_M418"	NA	"D25 DMD M418"	"DMD D25"
"101"	"D25"	"DMD"	"M418"	"G2"	"D25_DMD_M418"	NA	"D25 DMD M418"	"DMD D25"
"102"	"D25"	"DMD"	"M418"	"G3"	"D25_DMD_M418"	NA	"D25 DMD M418"	"DMD D25"
